gene_name,romano_initiation_rate,gene_length,folding_energy_70,folding_energy_80,length of 5prime utr,kozak score,N1,N4,in_frame AUG
YPL084W,0.08521,544,-7.5,-11.5,127,4,3,1,1
YPL156C,0.08555,172,-11.1,-4.5,194,5,4,1,0
YOR155C,0.08556,451,-10.2,-8.7,197,6,1,3,1
YLR398C,0.08564,1288,-6.7,-8.2,36,6,1,2,0
YLR398C,0.08564,396,-12.9,-12.9,37,8,1,1,0
YOL016C,0.08572,448,-8,-8,24,6,4,1,0
YPR181C,0.08578,255,-7.1,-7.1,33,7,4,1,0
YPR181C,0.08578,769,-4,-13.3,65,2,4,3,0
YOR150W,0.08606,164,-13.3,-13.3,29,4,4,2,0
YOR174W,0.08622,285,-17,-13.6,214,6,1,3,0
YBR141C,0.08625,338,-6.9,-6,21,6,1,3,0
YDR204W,0.08627,336,-6.1,-13.6,94,5,1,1,0
YJL101C,0.08641,679,-16,-10.4,152,6,1,1,0
YMR189W,0.08655,1035,-8.5,-14.6,152,5,3,1,0
YBR179C,0.08673,856,-9.9,-10,66,6,2,1,0
YDR211W,0.08691,713,-5.6,-5.6,24,7,4,1,0
YOL124C,0.08705,434,-10.4,-12.9,33,5,3,1,0
YPL234C,0.08783,165,-10.3,-10.5,52,6,3,1,0
YGL221C,0.08789,289,-6.7,-11.9,340,7,1,3,2
YGR153W,0.08794,218,-13.6,-13,23,4,2,3,0
YLR121C,0.08804,509,-10.5,-10.5,27,5,2,1,0
YJR124C,0.08807,449,-8.6,-14,43,4,3,1,0
YMR052W,0.08833,205,-4.4,-4.4,22,5,3,1,0
YPR011C,0.0885,327,-10.4,-10.9,105,4,3,1,0
YDR515W,0.08851,294,-8.9,-17.2,72,5,3,1,0
YPL274W,0.08852,588,-8.4,-11.9,60,6,1,1,0
YOR115C,0.08867,269,-4.8,-10.1,52,6,1,1,1
YLR018C,0.08902,428,-6.3,-8,131,5,2,2,0
YOL116W,0.08916,383,-7.8,-10.8,132,7,1,3,0
YKL023W,0.08933,338,-7,-14.3,124,3,3,3,0
YER122C,0.08936,494,-10.4,-9.6,82,4,3,1,0
YKR025W,0.08954,283,-8,-8,32,4,2,2,0
YCL011C,0.08968,428,-17.5,-18.8,46,5,3,1,0
YML127W,0.08978,582,-6.9,-11.7,49,3,2,1,0
YDL040C,0.08992,855,-8.4,-8.4,28,6,4,1,0
YLR287C,0.09026,356,-3.4,-11.2,68,8,1,1,0
YGL077C,0.09039,226,-11.2,-8.9,22,7,4,1,0
YLR222C,0.0904,818,-5,-5,21,6,2,1,0
YBR287W,0.09044,428,-6.7,-8.9,35,5,2,2,0
YJR144W,0.09058,270,-19.6,-17,22,2,4,1,0
YKL206C,0.09064,268,-8,-9.8,37,3,4,1,0
YGL010W,0.09132,175,-10,-13.8,52,5,1,1,0
YFL044C,0.09137,302,-8.5,-8.5,21,5,2,1,0
YER099C,0.0914,319,-15.3,-8.9,271,6,2,1,0
YNL185C,0.09162,159,-6.6,-15.1,99,8,2,1,0
YHR176W,0.09164,433,-18.3,-8.9,125,3,4,3,0
YDL060W,0.09168,232,-20.9,-7.9,155,4,3,1,0
YGR042W,0.09184,272,-14.3,-13.1,21,3,4,1,0
YEL067C,0.09208,799,-6.3,-7.2,80,7,1,1,0
YLR407W,0.09212,229,-9.7,-7.7,245,4,2,1,0
YDL102W,0.09222,1098,-6.6,-12,82,5,1,3,0
YDR237W,0.09224,293,-11.4,-8,143,8,1,1,0
YIR001C,0.09226,251,-6.3,-15.5,63,3,3,3,0
YOL158C,0.09244,607,-8,-8,23,4,4,1,0
YFL042C,0.0925,675,-9.6,-9.6,34,3,3,3,0
YKR080W,0.09262,321,-12.5,-4.8,151,7,1,3,0
YDR472W,0.09271,284,-10,-6.8,121,9,1,1,0
YPL188W,0.09272,415,-10,-8.4,17,7,1,1,0
YKR087C,0.09276,346,-5.4,-4.7,23,6,4,3,0
YDR314C,0.09283,313,-3.7,-4.9,46,8,1,1,0
YNL290W,0.09284,341,-6.5,-10.9,223,7,1,1,0
YFR030W,0.09302,1036,-11.3,-16.6,55,7,1,3,0
YPR051W,0.09321,177,-11.5,-11.5,28,3,4,3,0
YCL016C,0.09328,381,-5.4,-6.5,33,4,2,1,0
YIL083C,0.09344,366,-8.9,-1.1,90,5,1,3,0
YLR401C,0.09349,669,-4.2,-12.3,44,2,2,2,0
YML060W,0.09361,377,-10.6,-11.3,43,8,1,4,0
YML112W,0.09366,297,-8,-8,22,3,3,1,0
YHR209W,0.09387,292,-7,-7.7,35,7,2,1,1
YHR209W,0.09387,314,-5.8,-4.6,19,7,1,1,0
YGR193C,0.09401,411,-11.3,-7.1,91,5,2,1,0
YNL021W,0.09402,707,-5.7,-13.9,71,4,2,1,0
YAL032C,0.09428,380,-5.2,-1.4,21,6,4,1,0
YBR231C,0.0945,304,-9.1,-5.35,58,5,4,2,0
YBL033C,0.09466,346,-1.2,-1.2,29,7,2,1,0
YNL305C,0.09494,298,-7.9,-9.2,32,5,3,1,0
YPL118W,0.09515,345,-4.8,-12.1,87,8,1,3,0
YLR332W,0.09516,377,-9,-9.2,423,4,4,1,0
YHR015W,0.09525,600,-5.7,-10.7,91,5,4,1,0
YJL082W,0.09538,732,-6.6,-11.2,117,6,2,1,0
YKL143W,0.0955,464,-3.6,-8.9,55,6,1,1,0
YER116C,0.09566,275,-6.6,-8.5,101,2,4,2,0
YPL256C,0.09575,546,-0.1,-8.7,176,6,4,1,0
YDR171W,0.09594,376,-6.1,-5.7,70,5,3,3,0
YDR494W,0.09608,362,-12.4,-13.8,34,5,2,1,0
YER095W,0.09611,401,-8.9,-6.7,55,5,4,4,0
YPR032W,0.09612,1034,-3.8,-8.9,52,9,1,1,0
YDR178W,0.09653,182,-18.2,-11.6,187,3,1,3,0
YPL204W,0.09678,495,-9.4,-6,209,5,1,3,0
YMR131C,0.0968,240,-6.4,-6.4,17,3,3,2,0
YLR201C,0.09734,261,-7.5,-13.4,49,5,2,1,0
YHR001W,0.09774,438,-11.6,-5.7,321,7,4,1,1
YOL060C,0.09783,707,-10.3,-11.4,68,6,1,3,0
YHR112C,0.09784,379,-7,-7.8,34,3,4,1,0
YPL010W,0.09791,190,-11.2,-10.1,67,7,2,1,0
YGR048W,0.09793,362,-5.5,-10.5,51,8,1,1,0
YPL212C,0.09808,429,-3.58,-1.6,59,5,3,1,0
YDR318W,0.0981,369,-7.8,-9.5,154,3,4,3,4
YLR163C,0.09821,463,-10.2,-9.9,26,6,4,1,0
YJR112W,0.09822,202,.0.00,-8.7,118,4,4,1,1
YHL026C,0.09824,316,-5.6,-12,66,4,1,2,1
YNL072W,0.09848,308,-7.2,-7.2,22,4,3,2,0
YOR168W,0.09866,810,-9.6,-9.7,30,8,1,1,0
YDR140W,0.09892,222,-10.9,-4.9,15,3,2,1,0
YNL229C,0.0991,355,-7.2,-9.9,209,6,4,4,0
YOL137W,0.09928,498,-5.6,-11.8,182,5,2,1,0
YJR045C,0.09932,655,-6.7,-9.2,140,6,1,1,0
YDR234W,0.09933,694,-13.8,-12.3,139,5,2,1,0
YNR060W,0.09947,720,-7.8,-6.5,25,6,1,1,0
YNL001W,0.09952,387,-8,-9.3,64,6,1,1,0
YGR199W,0.09974,430,-8.4,-6.3,57,6,2,1,0
YGR199W,0.09974,371,-7.6,-4.8,158,7,4,1,0
YIL022W,0.09985,432,-11.1,-12,111,2,4,2,0
YHR162W,0.09988,130,-7.3,-7.5,169,9,1,1,0
YFL026W,0.09995,432,-5.9,-7.2,31,8,2,1,0
YJL174W,0.10001,277,-11.2,-8.4,116,5,2,1,0
YKL087C,0.10008,225,-7.2,-12.3,89,3,4,1,0
YGL056C,0.10067,606,-3.7,-12.3,70,4,1,4,0
YJL203W,0.1008,281,-6,-6,24,4,3,2,0
YJR016C,0.101,586,-12.2,-9.5,17,3,3,3,0
YHR146W,0.10105,466,-8.1,-7.8,26,7,1,1,0
YBR166C,0.1011,453,-8.6,-10.2,45,5,1,1,0
YHR122W,0.10154,368,-2.7,-2.7,27,4,4,1,0
YOR049C,0.10156,355,-8.6,-14.1,188,1,3,3,0
YDL045C,0.10161,307,-10.4,-13.9,138,6,4,1,0
YPL055C,0.10165,333,-16.6,-7.6,186,4,2,1,0
YPR079W,0.10191,382,-3.7,-12.1,90,6,3,1,0
YHR066W,0.10192,454,-1,-1,33,6,2,1,0
YAL060W,0.10207,383,-5.1,-9,86,3,2,1,0
YHR012W,0.10241,283,-6.7,-12.3,155,5,2,1,0
YDR090C,0.10291,311,-3.2,-10.3,115,2,3,2,0
YGR172C,0.10299,249,-8,-12.6,32,6,4,3,0
YJR093C,0.10313,328,-5.3,-7.5,86,5,4,2,0
YML069W,0.10328,553,-4.6,-9,65,5,1,1,0
YNL173C,0.10342,367,-8.4,-9.2,41,3,2,1,0
YNL274C,0.1035,351,-3,-3.5,46,5,3,1,0
YLR314C,0.10351,521,-4.6,-11.2,71,2,3,3,0
YDR508C,0.10353,664,-8.3,-17.5,130,7,4,1,1
YOR206W,0.10371,711,-7.1,-9.6,30,3,3,3,0
YGL113W,0.10376,669,-15.8,-17.8,89,6,4,1,1
YOR075W,0.10392,347,-4.8,-9.1,33,3,2,4,0
YLR062C,0.10394,235,-6.7,-11.5,43,6,2,1,0
YGR161C,0.10401,264,-4.7,-4.7,79,4,1,1,0
YBL010C,0.10416,281,-9.8,-7.9,22,5,1,4,0
YPR159W,0.1042,721,-7.4,-6.6,284,5,1,4,0
YOL142W,0.10473,241,-6.6,-6.5,23,8,2,1,0
YCL045C,0.10476,761,-5.7,-11.8,42,4,1,3,0
YDR337W,0.10497,287,-10.9,-12.7,50,9,2,1,0
YNR061C,0.10518,220,-10.9,-4.4,87,5,1,2,0
YKR011C,0.10543,354,-8,-6.3,109,6,3,1,0
YBR156C,0.10546,407,-3.8,-3.8,30,6,1,3,0
YLR231C,0.10575,454,-7.8,-7.8,28,3,3,1,0
YER103W,0.10577,643,.0.00,-6.2,55,6,1,1,0
YGR240C,0.10592,231,-5,-16.3,84,6,1,1,0
YLR292C,0.10618,194,-7.6,-7,21,4,2,1,0
YDR105C,0.10675,474,-5.4,-13,255,3,2,1,2
YBL091C,0.10678,422,-11.9,-12.5,33,6,2,1,0
YDL046W,0.10686,305,-8.6,-6.2,116,4,1,2,0
YLR089C,0.10716,593,-11.6,-7,305,6,2,1,0
YOR046C,0.10742,483,-8,-8,33,6,1,3,0
YGR128C,0.10752,186,-11.3,-15.5,48,3,3,3,1
YOR214C,0.10781,245,-7.1,-7.1,27,6,4,1,0
YKR052C,0.10794,305,-9.3,-8.5,72,5,1,1,0
YDL143W,0.10796,529,-11,-12.2,41,7,1,1,0
YOR101W,0.10853,310,-9.8,-7.2,75,6,1,3,0
YDR411C,0.10876,342,-7.7,-13.2,51,6,3,1,0
YMR246W,0.10878,695,-7.8,-16.3,228,8,1,1,0
YDR460W,0.10888,322,-10.5,-14.1,114,7,1,1,0
YFL028C,0.10902,290,-12.2,-12.2,24,5,4,1,0
YLL014W,0.10925,109,-10,-7.1,20,5,1,3,0
YPL220W,0.10927,218,-8.1,-4.6,65,7,4,1,0
YGR191W,0.10933,604,-4.3,-8.2,138,7,2,1,0
YML080W,0.10973,424,-10.2,-12.5,125,4,4,4,0
YPL178W,0.11014,209,-7.3,-9.5,49,6,3,1,0
YPL178W,0.11014,206,-14.1,-8.1,214,9,1,1,3
YHR181W,0.11036,229,-5,-9.5,59,5,1,1,0
YLR243W,0.11039,273,-3.5,-10.7,80,7,2,1,0
YGL135W,0.11046,218,-6.5,-10.3,65,8,4,1,0
YOR271C,0.11053,328,-2.6,-10.2,70,6,1,1,0
YDR231C,0.11059,206,-10.6,-10.6,26,6,1,1,0
YNL222W,0.11118,207,-7.7,-10.4,38,7,2,1,0
YER175C,0.11132,300,-16.9,-8.9,88,8,1,1,0
YBR247C,0.11166,310,-8.9,-8.9,23,5,2,1,0
YOR064C,0.1119,220,-7.8,-8.8,50,4,1,3,1
YBR201W,0.11227,212,-4.3,-10.2,139,6,1,1,0
YLR021W,0.11252,180,-5.6,-6.9,34,4,3,1,0
YML120C,0.11264,514,-4.3,-8.8,60,6,1,1,0
YHR187W,0.11265,310,-7.9,-10.2,36,5,3,1,0
YMR222C,0.11292,224,-7.9,-9.2,29,4,3,1,0
YNL071W,0.11294,483,-7.3,-7.3,33,5,4,1,0
YOL056W,0.11297,619,-4.2,-5.9,42,5,2,3,0
YDR300C,0.11299,429,-7,-6.5,143,4,3,1,1
YNL084C,0.11325,350,-11.9,-14.6,55,6,2,1,0
YNL129W,0.11338,241,-12.4,-15.4,61,7,4,1,0
YJL111W,0.11341,551,-5.7,-11.1,166,5,3,1,1
YFL037W,0.11372,458,-4.5,-9.4,66,5,1,1,0
YLR196W,0.11382,577,-7.3,-12.7,74,5,2,4,0
YGR038W,0.11444,223,-5.5,-10.6,139,4,2,2,0
YNL249C,0.1157,543,-10,-10,23,5,3,1,0
YCL044C,0.1158,210,-3,-3,17,4,2,1,0
YDR056C,0.11603,206,-8.7,-14,60,5,3,1,0
YMR092C,0.11621,616,-10.3,-7.2,83,8,1,1,0
YNL263C,0.11627,315,-10.3,-3.8,145,8,1,1,0
YMR297W,0.11652,533,-16.1,-9.5,76,5,2,3,0
YBR029C,0.1172,458,-10,-7.5,685,7,4,1,2
YLL012W,0.11739,574,-10.9,-13.1,54,6,4,1,0
YLL012W,0.11739,444,-6.9,-6.9,20,7,3,1,0
YNL200C,0.1176,247,-5.2,-11.2,102,8,3,1,0
YGR065C,0.11795,594,-5.9,-9.1,111,5,2,1,0
YHR090C,0.11866,182,-9.9,-11.1,31,4,3,1,0
YHR090C,0.11866,283,-4.2,-11.1,93,5,2,1,1
YJR125C,0.11884,409,-6.6,-10.7,61,5,3,1,0
YIL157C,0.11946,198,-5.9,-9.2,62,3,4,2,0
YKL130C,0.11953,247,-2.5,-5.8,51,5,2,1,0
YPR018W,0.11958,607,-11.9,-6.9,91,4,3,1,0
YGL061C,0.12003,248,-8.7,-6.9,75,5,2,1,0
YHR121W,0.12029,188,-7.8,-13,68,2,2,2,0
YCL040W,0.12062,501,-5.8,-7.6,31,8,4,1,0
YGL020C,0.12064,236,-10.4,-12.1,52,5,3,3,0
YCR061W,0.12098,632,-5.1,-5,26,4,1,3,0
YKR006C,0.12115,664,-9.3,-10.8,125,8,1,1,1
YBR079C,0.1213,965,-8.6,-8.6,26,7,1,1,0
YDR492W,0.12134,317,-8.1,-4.3,156,8,1,1,0
YMR008C,0.12179,665,-9.7,-11.5,208,5,1,1,0
YEL060C,0.12287,636,-10.7,-8.4,256,4,3,1,1
YJR083C,0.12304,310,-2.2,-5.6,170,7,1,3,0
YKL100C,0.12305,588,-10.7,-7.6,25,6,2,1,0
YIL074C,0.12317,307,-6.8,-6.8,24,5,3,3,0
YDR346C,0.12325,482,-14.2,-6.2,158,6,1,1,0
YNL016W,0.12353,454,-6,-7.7,153,6,1,4,0
YBR122C,0.12363,178,-10.6,-13.2,34,6,4,4,0
YKR060W,0.12369,203,-7.6,-11.2,47,5,2,1,0
YDR238C,0.12402,974,-8.4,-13.6,140,4,3,4,0
YDR380W,0.12441,636,-7.5,-2.5,109,4,2,1,0
YGL148W,0.12448,395,-2.1,-10.2,86,4,2,3,0
YHR152W,0.12464,174,-3.8,-5.5,95,4,3,2,0
YHR143W,0.12495,326,-6.7,-5.7,269,6,1,3,0
YHR216W,0.12501,524,-8.8,-8.8,107,6,1,3,0
YML086C,0.12514,527,-12.2,-6,382,7,4,4,4
YOR362C,0.12516,289,-3.7,-6.7,44,4,2,3,0
YGL204C,0.12524,102,-11.3,-8.6,61,4,4,3,0
YML056C,0.12533,525,-5.7,-8.2,309,3,2,1,2
YML052W,0.12548,303,-13,-13.7,31,5,1,1,0
YLR378C,0.12556,481,-7.4,-7.7,206,6,2,1,0
YBL099W,0.12571,546,-5.5,-10.2,298,6,1,1,0
YBR036C,0.1258,411,-8.3,-14.6,49,7,1,3,0
YDR165W,0.12596,445,-10.1,-11.3,187,3,2,1,2
YJR060W,0.12613,352,-6.6,-4.3,123,3,2,1,0
YOR317W,0.12617,701,-6.9,-8.9,163,7,1,1,0
YLR237W,0.12638,599,-8.4,-14.9,136,6,1,1,0
YDR091C,0.12648,609,-5.6,-11.6,74,7,1,1,0
YOL010W,0.12685,368,-9.2,-6.9,57,6,1,3,0
YLR016C,0.12687,205,-4.6,-11.6,150,6,1,3,0
YCR004C,0.12724,248,-3.9,-5.5,39,5,1,1,0
YDR434W,0.12768,535,-5.4,-11.4,97,7,1,1,0
YAR015W,0.12809,348,-3.5,-5.6,39,4,1,1,0
YMR038C,0.12841,250,-6.9,-6.9,31,7,1,1,0
YDR427W,0.12844,394,-9.2,-11.1,32,6,4,1,0
YCL064C,0.12858,361,-5.8,-5.4,20,7,1,3,0
YFR010W,0.1287,500,-8.4,-13,83,5,2,1,0
YLR208W,0.12877,298,-11.1,-8.8,117,5,1,4,0
YDL018C,0.12888,226,-9.3,-11.7,61,6,2,3,0
YJR148W,0.12894,377,-5.2,-8.1,58,7,1,3,0
YLL039C,0.12925,382,-8.6,-5,99,3,2,1,0
YNL052W,0.12934,154,-6.3,-6.5,36,4,2,1,0
YNR043W,0.12947,397,-3.3,-3,14,8,1,1,0
YDR003W,0.1295,211,-8.5,-8.5,38,4,2,3,0
YPL059W,0.12961,151,-9.4,-10.3,62,6,4,1,0
YML004C,0.13023,327,-7.7,-6.2,85,6,4,1,0
YKL002W,0.13031,233,-14.7,-18.7,78,6,2,1,0
YDL095W,0.13041,818,-8.5,-11.5,81,4,1,3,0
YGR138C,0.13042,615,-4.5,-7.2,283,6,1,1,0
YNL189W,0.13059,543,-5.8,-5.1,194,6,1,1,0
YDR035W,0.1307,371,.0.00,-8.7,80,7,1,1,0
YIL018W,0.13103,255,-8.6,-8.6,25,5,2,1,0
YMR240C,0.13112,118,-8.8,-6.6,23,3,2,2,0
YDR101C,0.13126,594,-7.5,-8.4,28,5,1,1,0
YGR264C,0.13176,752,-7.8,-9,53,7,1,1,0
YOL019W,0.13177,552,-9.2,-16.8,143,3,1,3,0
YOL143C,0.13215,170,-9.6,-11,39,6,4,1,0
YGL068W,0.1328,195,-9.4,-9.9,48,7,4,1,0
YCL025C,0.13299,634,-8,-8.1,32,8,4,1,0
YPR103W,0.13349,288,-5.1,-9.5,87,5,1,1,0
YNL075W,0.13363,291,-6.7,-4,79,6,1,3,0
YHR208W,0.13365,394,-12.3,-12.3,23,6,2,1,0
YIL162W,0.13366,268,-1.6,-3.8,39,6,4,1,0
YBR171W,0.13374,207,-9.1,-10.1,28,7,3,1,0
YBR234C,0.1342,385,-6.3,-6.2,47,7,4,4,0
YOL032W,0.13446,247,-4.5,-7.4,63,8,1,3,0
YLR244C,0.13477,388,-4.8,-4.1,19,3,2,1,0
YHR019C,0.13495,555,-7.2,-10.9,43,6,2,1,0
YLR432W,0.13502,524,-12.8,-10.1,109,6,1,3,0
YLR066W,0.13535,185,-13,-7.5,52,6,1,1,0
YCR012W,0.13552,417,-6,-13.2,42,9,1,1,0
YJL034W,0.13566,683,-12.3,-16.9,39,5,4,1,0
YNR024W,0.13591,187,-2.8,-9.8,77,6,4,4,1
YKL077W,0.13602,393,-14.2,-13.6,53,4,3,1,0
YOR209C,0.13627,430,-9.5,-10.4,149,6,1,1,0
YDR384C,0.13656,276,-4.4,-6.5,71,5,3,1,0
YER001W,0.13658,763,-10.8,-12.1,51,5,2,2,0
YMR171C,0.13671,551,-14.3,-10.5,197,7,1,4,0
YBR159W,0.13675,348,-11.2,-12.4,140,7,2,3,1
YBL058W,0.1378,424,-9.9,-9.9,29,3,2,3,0
YLR249W,0.13793,1045,-6.3,-13,42,8,2,1,0
YLR060W,0.13806,596,-14.1,-6.07,187,6,3,1,0
YCL043C,0.13811,523,-5.5,-8.5,39,4,4,3,0
YER102W,0.13836,201,-8.5,-8.5,27,6,3,1,0
YCR088W,0.13889,593,-4.5,-5.9,44,8,1,1,0
YKL041W,0.13902,225,-6.4,-14.4,150,2,4,2,0
YIL133C,0.13932,200,-8.9,-7.5,19,8,3,1,0
YPR144C,0.13933,553,-3.9,-6.5,36,5,1,1,0
YDL169C,0.13958,178,-3.9,-3.9,28,9,1,1,0
YNL214W,0.13968,200,-10.3,-9.7,22,6,1,1,0
YHR132C,0.13974,431,-11.7,-10.7,43,4,2,1,0
YDR072C,0.1401,528,-16.7,-12.8,682,5,3,1,2
YJL014W,0.14016,535,-9.3,-9.2,26,6,3,1,0
YOR272W,0.14149,461,-3.9,-5.1,48,6,2,1,0
YLR304C,0.14235,779,-7.9,-12.1,40,4,2,1,0
YOL043C,0.14322,381,-10.8,-10.9,84,4,2,1,0
YDR429C,0.14332,275,-5.6,-4,18,5,3,1,0
YPR143W,0.14341,251,-5.7,-5.7,27,2,2,1,0
YGR088W,0.14371,563,-6.2,-6.2,27,4,2,4,0
YOR332W,0.14374,234,-5.6,-8.2,32,8,2,1,0
YDR025W,0.1438,157,-5.3,-3.6,16,8,1,1,0
YMR183C,0.14381,296,-10.5,-6.1,68,3,3,3,0
YHR190W,0.14382,445,-4.3,-9.3,50,7,4,1,0
YDL165W,0.14401,192,-5.9,-9.2,50,7,2,1,0
YPR145W,0.14403,573,-8.9,-18.2,55,5,4,1,0
YNL064C,0.14438,410,-2.82,-5.6,196,5,4,1,0
YPL273W,0.14481,326,-5,-11,75,7,1,1,0
YMR099C,0.14496,298,-6.3,-6.3,24,6,1,3,0
YNR009W,0.14563,250,-12,-15.4,147,3,4,2,0
YIR034C,0.14565,374,-5.5,-5.5,36,7,3,1,0
YBR039W,0.14591,312,-9.3,-11.1,92,3,3,3,0
YER056C,0.14657,534,-0.7,-12.2,88,6,1,1,0
YCR060W,0.14716,112,-9.4,-7.1,15,4,1,1,0
YGR284C,0.1472,311,-6.5,-11.7,42,7,1,2,0
YHL040C,0.14747,628,-10.3,-15.2,39,3,3,4,0
YDL181W,0.14749,86,-13.5,-4.3,87,5,2,1,0
YGL225W,0.14759,338,-3.8,-8.7,42,7,3,4,0
YBR258C,0.14773,153,-7,-4,216,4,1,4,1
YLR216C,0.14791,372,-4,-5.8,33,7,3,1,0
YPL090C,0.14817,237,-7.8,-7.8,31,6,2,1,0
YKL035W,0.14873,500,-3.6,-3.1,72,7,1,1,0
YOR094W,0.14907,184,-7.5,-9.4,97,3,3,3,0
YMR268C,0.14914,445,-12.2,-8.9,43,3,3,1,0
YBR257W,0.14929,280,-7.2,-8.6,33,6,3,1,0
YDR133C,0.14931,112,-0.7,-14.7,237,4,4,2,0
YJL177W,0.1494,185,-4.7,-4,23,5,2,1,0
YDR302W,0.14962,220,-4.6,-6.2,143,5,2,1,0
YGL040C,0.15073,343,-4.6,-7.7,78,6,1,1,0
YNL134C,0.15076,377,-4.9,-4.7,67,5,2,1,0
YGR251W,0.15085,197,-10.7,-10.2,137,6,2,1,0
YOL097C,0.15124,433,-6.6,-6.6,26,4,1,1,0
YMR147W,0.15133,224,-4.7,-5.2,80,3,1,4,0
YPL079W,0.15171,161,-4.4,-4.4,27,7,1,1,0
YGR086C,0.15192,340,-3.1,-5.3,109,3,2,1,0
YDR248C,0.15253,194,-12.5,-13.4,60,3,4,2,0
YLR167W,0.15262,153,-8.4,-9.7,59,5,3,1,0
YNL032W,0.15315,282,-9,-18.1,129,5,1,3,0
YML022W,0.15327,188,-8.3,-8.3,23,6,4,1,0
YBR162C,0.15408,456,-1.8,-9,138,8,1,1,0
YDL115C,0.1542,354,-9.6,-10.6,452,5,1,4,1
YOR294W,0.15442,204,-7.6,-7.8,47,6,2,2,0
YLR285W,0.15448,262,-9.5,-9.5,35,6,1,4,0
YPL250C,0.15457,137,-2,-4.5,69,5,2,1,0
YML063W,0.1551,256,-7.4,-7.4,27,5,4,1,0
YKL056C,0.15522,168,-1.5,-7.2,109,6,1,1,1
YKL009W,0.15532,237,-3.4,-7.6,41,4,2,1,0
YDR079W,0.15576,112,-3.9,-3.9,36,7,2,1,0
YJR077C,0.15641,312,-6.3,-8.8,48,7,4,1,0
YBR137W,0.15675,180,-3.9,-11.9,63,3,1,1,0
YDR328C,0.15678,195,-2.8,-12.2,68,3,3,3,0
YCR034W,0.15693,348,-6.7,-6.7,27,4,3,3,0
YGL103W,0.15707,150,-5.4,-3.5,18,6,2,1,0
YOR204W,0.15718,605,-6.1,-6.1,21,5,4,1,0
YFR033C,0.15799,148,-6.7,-9.2,108,5,2,1,0
YKL133C,0.15858,464,-13.5,-9.6,15,3,2,1,0
YJL121C,0.1596,239,-3.6,-13.3,100,6,3,1,0
YNL209W,0.15984,614,-8.3,-7.8,24,6,2,1,0
YLL023C,0.16027,280,-3.6,-3.6,32,6,1,1,0
YMR319C,0.16029,553,-4.1,-11.4,177,5,4,1,1
YLR456W,0.16079,205,-1.1,0,13,4,2,1,0
YHR081W,0.16159,185,-8.8,-8.8,27,3,2,3,0
YDL055C,0.16262,362,-3.2,-7.3,150,5,2,1,0
YML092C,0.16353,251,-3.8,-2.2,22,5,1,1,0
YPL111W,0.16568,334,-1.1,-1.1,47,6,1,1,0
YKL120W,0.16624,325,-9.8,-5,78,6,3,1,0
YMR204C,0.1667,421,-8,-11.2,51,3,1,3,0
YLR339C,0.16714,227,-7.2,-4.3,84,7,2,2,0
YDR483W,0.16775,443,-9.6,-9.6,27,5,3,1,0
YNL121C,0.16844,618,-10.5,-15.1,49,2,2,4,0
YGL217C,0.16883,345,-1.8,-9.8,315,9,1,1,0
YOR185C,0.17089,221,-13.5,-7.9,352,7,2,3,2
YDR253C,0.17108,192,-13.5,-11.3,160,6,2,4,1
YBL045C,0.17116,458,-7,-5.2,196,7,1,1,0
YOR382W,0.1713,154,-5.1,-1.9,19,5,1,1,0
YDR450W,0.17151,147,-6.5,-6.5,23,8,2,1,0
YML012W,0.17202,212,-8.9,-8.4,23,5,1,1,0
YBL049W,0.17272,139,-12.9,-9.1,224,6,1,1,0
YBL043W,0.17286,258,-4.6,-7.4,134,4,1,1,0
YJR123W,0.17288,226,-3.4,-6.4,37,7,4,1,0
YFR026C,0.17394,170,-13.7,-13.9,143,4,1,3,0
YGR185C,0.17471,395,-8.1,-9.2,33,6,3,1,0
YOR369C,0.1754,144,-6.6,-7.7,69,9,1,1,0
YPL117C,0.1755,289,-6.6,-5.5,100,7,1,2,0
YLR075W,0.17658,222,-4.8,-4.8,23,6,2,1,0
YDL083C,0.17709,144,-7.7,-7.4,20,9,1,1,0
YEL024W,0.17728,216,-13,-8.6,177,6,1,1,0
YAL012W,0.17811,395,-1.8,-1.6,66,8,1,1,0
YKL046C,0.17821,450,-8.9,-6.9,235,6,1,1,0
YBR249C,0.17872,371,-8.9,-12.5,137,5,2,3,0
YOR252W,0.17885,179,-3.1,-5.4,33,4,4,1,0
YGL032C,0.17902,88,-17.2,-6,137,4,1,1,1
YDR345C,0.18012,568,-5.4,-5.4,32,5,1,1,0
YDR077W,0.18029,339,-3,-4.4,33,4,1,1,0
YJL088W,0.18053,339,-0.9,-0.9,27,4,3,1,0
YOR176W,0.18063,394,-7.6,-6.8,113,6,2,1,0
YJL079C,0.18165,300,-5.3,-4,166,4,2,1,0
YPR163C,0.18171,437,-4.1,-7.4,92,7,4,1,0
YNL010W,0.18172,242,-7.8,-11.5,40,4,1,3,0
YGR034W,0.18232,128,-3.6,-5.8,29,6,2,1,0
YKR013W,0.18316,330,-1.11,-4.9,51,5,1,1,0
YKR020W,0.18333,165,-10.2,-3.6,19,4,3,4,0
YMR311C,0.18394,361,-4.6,-8.1,114,7,1,1,0
YGR118W,0.18409,146,-8.7,-8.7,24,6,1,1,0
YBR025C,0.1853,395,-3.3,-4.1,39,7,2,1,0
YGR055W,0.18556,575,-9.1,-14.9,34,5,3,3,0
